Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
MotorImagery,2020-12-03 12:59:16.7230,4705,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6735,11,(0.679 0.673 0.599 0.627 0.627 0.603 0.588 0.657 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:59:17.0982,4732,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5667,11,(0.567 0.673 0.615 0.636 0.617 0.638 0.625 0.615 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:18.6304,4842,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,2,0.0000,0.0000,Running,4.3540,28,0.0667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 12:59:20.2989,4959,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6881,12,(0.640 0.656 0.630 0.609 0.657 0.688 0.588 0.628 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:20.2994,4959,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,2,-4.3313,0.0000,Running,4.3540,28,0.0667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-12-03 12:59:20.3004,4959,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,2,-4.3313,0.0000,Running,4.3540,27,0.1000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-12-03 12:59:21.4270,5039,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5365,12,(0.718 0.713 0.696 0.695 0.673 0.664 0.586 0.536 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:59:25.3964,5324,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7090,13,(0.701 0.709 0.580 0.593 0.606 0.633 0.657 0.672 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:59:26.0510,5371,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.4688,13,(0.662 0.606 0.578 0.573 0.469 0.697 0.671 0.669 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:36.6340,6128,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,3,0.0000,0.0000,Running,3.8070,27,0.1000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 12:59:41.8834,6504,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6686,14,(0.622 0.592 0.607 0.605 0.669 0.644 0.653 0.641 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:41.8834,6504,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,3,-0.7510,0.0000,Running,3.8070,27,0.1000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-12-03 12:59:41.8849,6504,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,3,-0.7510,0.0000,Running,3.8070,26,0.1333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-12-03 12:59:42.9135,6577,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5569,14,(0.771 0.775 0.733 0.713 0.699 0.557 0.758 0.786 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:59:44.4444,6687,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7900,15,(0.790 0.586 0.708 0.731 0.749 0.774 0.784 0.783 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:59:44.9597,6724,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.4422,15,(0.571 0.442 0.732 0.725 0.711 0.726 0.657 0.603 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:59:53.1188,7307,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5911,16,(0.591 0.620 0.667 0.665 0.665 0.583 0.600 0.579 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:59:53.2586,7317,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5046,16,(0.591 0.570 0.505 0.665 0.665 0.583 0.600 0.579 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:54.6374,7416,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,4,0.0000,0.0000,Running,3.6702,26,0.1333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 12:59:57.1020,7592,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7141,17,(0.648 0.690 0.708 0.714 0.601 0.622 0.629 0.669 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:57.1095,7592,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,4,-3.5354,0.0000,Running,3.6702,26,0.1333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-12-03 12:59:57.1105,7592,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,4,-3.5354,0.0000,Running,3.6702,25,0.1667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-12-03 12:59:58.1178,7664,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5012,17,(0.762 0.723 0.673 0.612 0.501 0.756 0.762 0.737 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 13:00:02.4629,7974,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6057,18,(0.670 0.682 0.679 0.666 0.652 0.606 0.581 0.654 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
