Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
GameDecision,2020-11-30 11:29:19.3002,11147,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,6,0.0006,0.0000,Running,3.4611,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2020-11-30 11:29:31.3010,12006,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,7,0.0000,0.0000,Running,3.6151,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:29:37.3025,12435,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,7,0.0016,0.0000,Running,3.6151,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 11:29:37.3035,12435,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,7,0.0016,0.0000,Running,3.6151,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
MotorImagery,2020-11-30 11:29:39.6270,12601,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5714,5,(0.413 0.406 0.442 0.468 0.518 0.540 0.555 0.571 ),NULL
Rest,2020-11-30 11:29:40.2538,12632,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3454,5,(0.402 0.345 0.500 0.502 0.487 0.482 0.438 0.429 ),NULL
MotorImagery,2020-11-30 11:29:43.6933,12854,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2095,6,(0.277 0.294 0.273 0.210 0.231 0.253 0.272 0.291 ),NULL
Rest,2020-11-30 11:29:43.8468,12860,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1730,6,(0.277 0.294 0.273 0.210 0.161 0.173 0.272 0.291 ),NULL
InputWindowChange,2020-11-30 11:29:49.3053,13232,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,8,0.0000,0.0000,Running,4.7283,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:29:55.3056,13655,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,8,0.0020,0.0000,Running,4.7283,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
