Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
GameDecision,2021-05-03 10:37:12.2433,10974,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,8,0.0121,0.0000,Running,0.0261,20,0.0000,0,0.0000,0,0.4500,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
Rest,2021-05-03 10:37:12.6469,11003,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2751,28,(0.425 0.406 0.372 0.315 0.275 0.466 0.444 0.398 ),NULL
MotorImagery,2021-05-03 10:37:13.9696,11098,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7665,29,(0.643 0.701 0.735 0.767 0.360 0.359 0.377 0.541 ),NULL
Rest,2021-05-03 10:37:17.1435,11326,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2476,29,(0.248 0.464 0.441 0.387 0.373 0.372 0.344 0.307 ),NULL
MotorImagery,2021-05-03 10:37:18.5356,11426,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4560,30,(0.373 0.433 0.461 0.468 0.465 0.456 0.456 0.320 ),NULL
Rest,2021-05-03 10:37:19.5659,11500,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2854,30,(0.285 0.411 0.344 0.329 0.319 0.321 0.320 0.318 ),NULL
MotorImagery,2021-05-03 10:37:20.7074,11582,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5765,31,(0.537 0.582 0.576 0.576 0.340 0.386 0.405 0.446 ),NULL
Rest,2021-05-03 10:37:23.7985,11804,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2707,31,(0.578 0.534 0.473 0.449 0.432 0.375 0.324 0.271 ),NULL
InputWindowChange,2021-05-03 10:37:24.2436,11836,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Open,9,0.0000,0.0000,Running,0.7384,20,0.0000,0,0.0000,0,0.4500,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-05-03 10:37:24.7873,11875,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5589,32,(0.323 0.367 0.450 0.506 0.532 0.562 0.544 0.559 ),NULL
