Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
MotorImagery,2020-11-26 14:53:26.9452,8787,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5376,12,(0.524 0.521 0.535 0.576 0.578 0.538 0.502 0.520 )
Rest,2020-11-26 14:53:27.8371,8851,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4361,12,(0.552 0.546 0.545 0.520 0.436 0.633 0.620 0.592 )
InputWindowChange,2020-11-26 14:53:36.2337,9451,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Open,6,0.0000,0.0000,Running,3.9431,27,0.1000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-26 14:53:41.2588,9810,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7281,13,(0.637 0.657 0.670 0.699 0.728 0.511 0.569 0.611 )
InputWindowChange,2020-11-26 14:53:41.2598,9810,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,6,-0.9737,0.0000,Running,3.9431,27,0.1000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:53:41.2598,9810,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,6,-0.9737,0.0000,Running,3.9431,26,0.1333,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-26 14:53:42.8036,9920,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4930,13,(0.572 0.573 0.592 0.602 0.591 0.587 0.523 0.493 )
MotorImagery,2020-11-26 14:53:53.3870,10676,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5116,14,(0.511 0.541 0.544 0.539 0.532 0.515 0.508 0.512 )
Rest,2020-11-26 14:53:53.6511,10695,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4997,14,(0.505 0.517 0.510 0.500 0.532 0.515 0.508 0.512 )
InputWindowChange,2020-11-26 14:53:54.2370,10737,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Open,7,0.0000,0.0000,Running,4.4250,26,0.1333,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
