Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
InputWindowChange,2020-11-26 14:41:43.4307,11348,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,7,0.0000,0.0000,Running,4.4379,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:41:49.4323,11778,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,7,0.0031,0.0000,Running,4.4379,28,0.0667,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:41:49.4343,11778,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,7,0.0031,0.0000,Running,4.4379,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:41:55.4889,12211,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6349,5,(0.610 0.635 0.570 0.590 0.593 0.605 0.624 0.615 )
Rest,2020-11-26 14:41:56.1296,12256,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4939,5,(0.605 0.563 0.530 0.494 0.645 0.636 0.623 0.605 )
MotorImagery,2020-11-26 14:41:59.8331,12521,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5575,6,(0.562 0.558 0.526 0.547 0.538 0.567 0.574 0.599 )
Rest,2020-11-26 14:42:00.1116,12541,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4776,6,(0.562 0.558 0.560 0.540 0.509 0.478 0.574 0.599 )
InputWindowChange,2020-11-26 14:42:01.4349,12635,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,8,0.0000,0.0000,Running,4.3811,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:42:07.4360,13064,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,8,0.0013,0.0000,Running,4.3811,28,0.0667,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:42:07.4366,13064,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,8,0.0013,0.0000,Running,4.3811,28,0.0667,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:42:19.4372,13921,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,9,0.0000,0.0000,Running,1.7861,28,0.0667,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-26 14:42:22.7107,14155,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6867,7,(0.525 0.589 0.611 0.637 0.659 0.671 0.680 0.687 )
InputWindowChange,2020-11-26 14:42:22.7107,14155,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,9,-2.7266,0.0000,Running,1.7861,28,0.0667,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:42:22.7117,14155,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,9,-2.7266,0.0000,Running,1.7861,27,0.1000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-26 14:42:23.9920,14247,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4805,7,(0.551 0.540 0.549 0.534 0.481 0.603 0.593 0.578 )
MotorImagery,2020-11-26 14:42:34.7263,15014,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6622,8,(0.662 0.523 0.565 0.559 0.587 0.573 0.586 0.616 )
InputWindowChange,2020-11-26 14:42:37.4413,15208,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,10,0.0000,0.0000,Running,3.8157,27,0.1000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
Rest,2020-11-26 14:42:38.0401,15251,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4814,8,(0.611 0.609 0.603 0.571 0.558 0.527 0.505 0.481 )
InputWindowChange,2020-11-26 14:42:43.4434,15637,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,10,0.0022,0.0000,Running,3.8157,27,0.1000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:42:43.4444,15637,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,10,0.0022,0.0000,Running,3.8157,27,0.1000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:42:47.1037,15899,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7123,9,(0.565 0.599 0.658 0.685 0.711 0.712 0.712 0.542 )
Rest,2020-11-26 14:42:47.9941,15962,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4904,9,(0.673 0.644 0.626 0.551 0.490 0.704 0.714 0.708 )
MotorImagery,2020-11-26 14:42:54.5117,16428,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6028,10,(0.595 0.603 0.520 0.542 0.524 0.530 0.576 0.571 )
InputWindowChange,2020-11-26 14:42:55.4461,16494,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,11,0.0000,0.0000,Running,3.9704,27,0.1000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
Rest,2020-11-26 14:42:56.5870,16576,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4984,10,(0.589 0.606 0.574 0.572 0.554 0.498 0.572 0.568 )
InputWindowChange,2020-11-26 14:43:01.4462,16923,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,11,0.0010,0.0000,Running,3.9704,27,0.1000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:43:01.4472,16923,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Closed,11,0.0010,0.0000,Running,3.9704,27,0.1000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:43:04.9970,17177,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6391,11,(0.639 0.529 0.545 0.555 0.575 0.612 0.633 0.639 )
Rest,2020-11-26 14:43:07.0439,17323,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4831,11,(0.611 0.584 0.538 0.483 0.701 0.711 0.688 0.670 )
MotorImagery,2020-11-26 14:43:08.4505,17423,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8069,12,(0.738 0.772 0.788 0.807 0.525 0.609 0.660 0.697 )
Rest,2020-11-26 14:43:09.3414,17487,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4618,12,(0.619 0.534 0.462 0.820 0.797 0.757 0.724 0.699 )
MotorImagery,2020-11-26 14:43:11.5127,17642,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5605,13,(0.532 0.525 0.546 0.569 0.588 0.583 0.561 0.515 )
Rest,2020-11-26 14:43:11.9168,17671,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4834,13,(0.600 0.608 0.588 0.552 0.510 0.483 0.561 0.566 )
InputWindowChange,2020-11-26 14:43:13.4491,17780,d121655a34113e4ddf4500cf39dd60f7,anonymous,NULL,Open,12,0.0000,0.0000,Running,2.9237,27,0.1000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-26 14:43:15.9819,17961,d121655a34113e4ddf4500cf39dd60f7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5386,14,(0.539 0.534 0.550 0.552 0.536 0.551 0.572 0.564 )
